Fins aléatoires	un texte qui décrit comment le monde disparaît l'objectif est de faire court et expéditif
1	Aujourd'hui la journée commence plutôt bien, la lumière du soleil est plus intense qu'habituellement. A vrai dire, l'intensité est même à la limite de la gêne. En sortant rapidement du bâtiment où tu te trouvais, tu constates qu'il ne s'agit pas de la lumière du soleil mais que c'est apparemment l'univers en entier qui est en flammes. Tu n'as pas le temps de t'en rendre compte que la fin du monde t'a emporté. Game over.
2	Aujourd'hui un son puissant te réveille, après quelques secondes il devient pénible et après une minutes tous les êtres vivants ont leurs molécules brisées par ce son mystérieux. Après une heure, ce sont les atomes qui se brisent sous le coup de cette vibration qui se révèle être plus qu'un simple son. La trame de l'univers se brise. Game over.
3	Aujourd'hui le stock de d'armes nucléaires de l'ex URSS est déclenché. On avait mal calculé, en fait il y avait largement de quoi détruire l'univers. Game over.
4	Aujourd'hui le temps s'est arrêté. Sans prévenir, sans provoquer la moindre destruction ou la moindre douleur. Mais une fois que le temps est arrêté, c'est quand même un peu la fin du monde. Game over.
5	Aujourd'hui un étrange homme à la peau violette apparaît dans un vaisseau futuriste et sème la mort dans tout l'univers grâce à un curieux gant coloré. Il a gagné et tout le monde a perdu. Game over.
6	Aujourd'hui toute la matière du monde s'est subitement transformée en anti-matière. Personne ne s'y attendait mais cela a provoqué immédiatement le fait que tout ce qui était vivant devient anti-vivant. On pourrait croire que l'anti-vie est intéressante mais non, c'est simplement la mort. Game over. 
7	Aujourd'hui, alors que tu te regardes dans le miroir, ton visage est remplacée par un nuage de fumée. Apparemment tu n'es pas le seul parce que tous les êtres vivants se sont transformés en fumée. L'univers est vide. Game over.
8	Aujourd'hui Jésus revient. Mais son retour n'est pas tellement une bonne nouvelle parce que cela signifie que c'est l'heure de l'apocalypse. Il y a peut être des élus mais apparemment toi, tu n'en fais pas partie. Game over.
9	Aujourd'hui il fait un peu frisquet quand tu te lèves. Après quelques minutes l'univers en entier est au zéro absolu et aucune source d'énergie ne semble capable de produire de chaleur. Tous les êtres vivants sont immédiatement figés pour l'éternité. Game over.
10	
11	
12	
13	
14	
15	